n,r,epsilon,seed,discretization_time_s,structure_learning_time_s,cpt_fitting_time_s,sampling_time_s,total_time_s,output_path
10000,0,0.5,3,1e-06,0.000106,0.007239,0.004861,0.012206,data/synthetic/private/privbayes_private_n10000_r0_eps0.5_seed3.csv
10000,0,0.5,4,1e-06,0.000127,0.007724,0.005214,0.013066,data/synthetic/private/privbayes_private_n10000_r0_eps0.5_seed4.csv
10000,0,1.0,0,1e-06,0.00012,0.008865,0.00549,0.014476,data/synthetic/private/privbayes_private_n10000_r0_eps1_seed0.csv
10000,0,1.0,1,1e-06,0.000122,0.007179,0.005196,0.012498,data/synthetic/private/privbayes_private_n10000_r0_eps1_seed1.csv
10000,0,1.0,2,1e-06,0.000129,0.007367,0.004991,0.012488,data/synthetic/private/privbayes_private_n10000_r0_eps1_seed2.csv
10000,0,1.0,3,1e-06,0.000106,0.006886,0.004889,0.011882,data/synthetic/private/privbayes_private_n10000_r0_eps1_seed3.csv
10000,0,1.0,4,1e-06,0.00012,0.007953,0.004998,0.013073,data/synthetic/private/privbayes_private_n10000_r0_eps1_seed4.csv
10000,0,2.0,0,1e-06,0.000125,0.007773,0.00501,0.012909,data/synthetic/private/privbayes_private_n10000_r0_eps2_seed0.csv
10000,0,2.0,1,1e-06,0.000141,0.007756,0.005729,0.013626,data/synthetic/private/privbayes_private_n10000_r0_eps2_seed1.csv
10000,0,2.0,2,1e-06,0.000127,0.007453,0.004852,0.012433,data/synthetic/private/privbayes_private_n10000_r0_eps2_seed2.csv
10000,0,2.0,3,1e-06,0.00012,0.007075,0.005894,0.01309,data/synthetic/private/privbayes_private_n10000_r0_eps2_seed3.csv
10000,0,2.0,4,1e-06,0.000123,0.007602,0.004858,0.012584,data/synthetic/private/privbayes_private_n10000_r0_eps2_seed4.csv
10000,1,0.1,0,1e-06,0.162795,0.014567,0.109371,0.286735,data/synthetic/private/privbayes_private_n10000_r1_eps0.1_seed0.csv
10000,1,0.1,1,1e-06,0.160651,0.015403,0.077495,0.25355,data/synthetic/private/privbayes_private_n10000_r1_eps0.1_seed1.csv
10000,1,0.1,2,0.0,0.161809,0.01544,0.086884,0.264134,data/synthetic/private/privbayes_private_n10000_r1_eps0.1_seed2.csv
10000,1,0.1,3,1e-06,0.182216,0.015518,0.086047,0.283782,data/synthetic/private/privbayes_private_n10000_r1_eps0.1_seed3.csv
10000,1,0.1,4,1e-06,0.160257,0.015773,0.079883,0.255915,data/synthetic/private/privbayes_private_n10000_r1_eps0.1_seed4.csv
10000,1,0.5,0,1e-06,0.156621,0.016348,0.092368,0.265338,data/synthetic/private/privbayes_private_n10000_r1_eps0.5_seed0.csv
10000,1,0.5,1,1e-06,0.163608,0.016488,0.081723,0.26182,data/synthetic/private/privbayes_private_n10000_r1_eps0.5_seed1.csv
10000,1,0.5,2,1e-06,0.150957,0.017367,0.082331,0.250656,data/synthetic/private/privbayes_private_n10000_r1_eps0.5_seed2.csv
10000,1,0.5,3,1e-06,0.154508,0.015198,0.078391,0.248098,data/synthetic/private/privbayes_private_n10000_r1_eps0.5_seed3.csv
10000,1,0.5,4,1e-06,0.163688,0.015009,0.080779,0.259478,data/synthetic/private/privbayes_private_n10000_r1_eps0.5_seed4.csv
10000,1,1.0,0,1e-06,0.162733,0.015085,0.087557,0.265376,data/synthetic/private/privbayes_private_n10000_r1_eps1_seed0.csv
10000,1,1.0,1,1e-06,0.153086,0.014849,0.07912,0.247056,data/synthetic/private/privbayes_private_n10000_r1_eps1_seed1.csv
10000,1,1.0,2,1e-06,0.162597,0.017006,0.088041,0.267645,data/synthetic/private/privbayes_private_n10000_r1_eps1_seed2.csv
10000,1,1.0,3,1e-06,0.164554,0.015685,0.081394,0.261633,data/synthetic/private/privbayes_private_n10000_r1_eps1_seed3.csv
10000,1,1.0,4,1e-06,0.159826,0.017326,0.081517,0.258669,data/synthetic/private/privbayes_private_n10000_r1_eps1_seed4.csv
10000,1,2.0,0,1e-06,0.149765,0.01534,0.082216,0.247322,data/synthetic/private/privbayes_private_n10000_r1_eps2_seed0.csv
10000,1,2.0,1,1e-06,0.162704,0.016066,0.08222,0.260991,data/synthetic/private/privbayes_private_n10000_r1_eps2_seed1.csv
10000,1,2.0,2,1e-06,0.170171,0.014176,0.082467,0.266816,data/synthetic/private/privbayes_private_n10000_r1_eps2_seed2.csv
10000,1,2.0,3,1e-06,0.159393,0.015807,0.101088,0.276289,data/synthetic/private/privbayes_private_n10000_r1_eps2_seed3.csv
10000,1,2.0,4,1e-06,0.163772,0.014806,0.0806,0.259179,data/synthetic/private/privbayes_private_n10000_r1_eps2_seed4.csv
10000,2,0.1,0,1e-06,0.569866,0.020278,0.104288,0.694432,data/synthetic/private/privbayes_private_n10000_r2_eps0.1_seed0.csv
10000,2,0.1,1,1e-06,0.564471,0.020704,0.100435,0.68561,data/synthetic/private/privbayes_private_n10000_r2_eps0.1_seed1.csv
10000,2,0.1,2,1e-06,0.550066,0.020451,0.102,0.672518,data/synthetic/private/privbayes_private_n10000_r2_eps0.1_seed2.csv
10000,2,0.1,3,1e-06,0.536321,0.019501,0.100191,0.656014,data/synthetic/private/privbayes_private_n10000_r2_eps0.1_seed3.csv
