n,r,seed,var_a,var_b,raw_mi_nats,synthetic_mi_nats,abs_mi_error_nats
5000,0,0,age,education_num,0.041681,0.00704,0.034642
5000,0,0,age,hours_per_week,0.119099,0.002328,0.116772
5000,0,0,age,income_class,0.138735,0.002524,0.13621
5000,0,0,education_num,hours_per_week,0.026509,0.006042,0.020467
5000,0,0,education_num,income_class,0.275594,0.004984,0.270609
5000,0,0,hours_per_week,income_class,0.040845,0.002477,0.038367
5000,0,1,age,education_num,0.041681,0.005114,0.036568
5000,0,1,age,hours_per_week,0.119099,0.002426,0.116673
5000,0,1,age,income_class,0.138735,0.002826,0.135909
5000,0,1,education_num,hours_per_week,0.026509,0.005921,0.020589
5000,0,1,education_num,income_class,0.275594,0.006247,0.269346
5000,0,1,hours_per_week,income_class,0.040845,0.002471,0.038374
5000,0,2,age,education_num,0.041681,0.004169,0.037513
5000,0,2,age,hours_per_week,0.119099,0.003361,0.115738
5000,0,2,age,income_class,0.138735,0.003089,0.135645
5000,0,2,education_num,hours_per_week,0.026509,0.00351,0.022999
5000,0,2,education_num,income_class,0.275594,0.003193,0.272401
5000,0,2,hours_per_week,income_class,0.040845,0.003878,0.036967
5000,0,3,age,education_num,0.041681,0.004436,0.037245
5000,0,3,age,hours_per_week,0.119099,0.002532,0.116568
5000,0,3,age,income_class,0.138735,0.001773,0.136962
5000,0,3,education_num,hours_per_week,0.026509,0.005967,0.020542
5000,0,3,education_num,income_class,0.275594,0.005118,0.270476
5000,0,3,hours_per_week,income_class,0.040845,0.003291,0.037553
5000,0,4,age,education_num,0.041681,0.005221,0.036461
5000,0,4,age,hours_per_week,0.119099,0.001932,0.117167
5000,0,4,age,income_class,0.138735,0.001021,0.137714
5000,0,4,education_num,hours_per_week,0.026509,0.006201,0.020308
5000,0,4,education_num,income_class,0.275594,0.005168,0.270425
5000,0,4,hours_per_week,income_class,0.040845,0.001872,0.038973
5000,1,0,age,education_num,0.041681,0.05284,0.011158
5000,1,0,age,hours_per_week,0.119099,0.136746,0.017646
5000,1,0,age,income_class,0.138735,0.143341,0.004606
