dataset,n,method,parameter,marginal_order,attributes,metric_type,tvd
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=10.0,avg_3way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=10.0,avg_2way,ALL,midpoint_binned_tvd,0.250152
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=10.0,avg_3way,ALL,midpoint_binned_tvd,0.363001
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,age|education_num,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,age|education_num,midpoint_binned_tvd,0.460929
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,age|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,age|hours_per_week,midpoint_binned_tvd,0.474262
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,age|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,age|income_class,midpoint_binned_tvd,0.460929
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,education_num|hours_per_week,midpoint_binned_tvd,0.053934
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,education_num|income_class,midpoint_binned_tvd,0.011988
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,2,hours_per_week|income_class,midpoint_binned_tvd,0.052845
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,3,age|education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,3,age|education_num|hours_per_week,midpoint_binned_tvd,0.478262
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,3,age|education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,3,age|education_num|income_class,midpoint_binned_tvd,0.461348
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,3,age|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,3,age|hours_per_week|income_class,midpoint_binned_tvd,0.474262
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,3,education_num|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,3,education_num|hours_per_week|income_class,midpoint_binned_tvd,0.055192
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,avg_2way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,avg_3way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,avg_2way,ALL,midpoint_binned_tvd,0.252481
simulated_adult_like_n3000_seed0,3000,k_anonymity,k=20.0,avg_3way,ALL,midpoint_binned_tvd,0.367266
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,age|education_num,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,age|education_num,midpoint_binned_tvd,0.461234
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,age|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,age|hours_per_week,midpoint_binned_tvd,0.470437
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,age|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,age|income_class,midpoint_binned_tvd,0.461234
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,education_num|hours_per_week,midpoint_binned_tvd,0.049585
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,education_num|income_class,midpoint_binned_tvd,0.008548
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,2,hours_per_week|income_class,midpoint_binned_tvd,0.049875
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,3,age|education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,3,age|education_num|hours_per_week,midpoint_binned_tvd,0.470437
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,3,age|education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,3,age|education_num|income_class,midpoint_binned_tvd,0.461234
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,3,age|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,3,age|hours_per_week|income_class,midpoint_binned_tvd,0.470437
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,3,education_num|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,3,education_num|hours_per_week|income_class,midpoint_binned_tvd,0.049897
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,avg_2way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,avg_3way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,avg_2way,ALL,midpoint_binned_tvd,0.250152
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=2.0,avg_3way,ALL,midpoint_binned_tvd,0.363001
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,age|education_num,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,age|education_num,midpoint_binned_tvd,0.482386
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,age|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,age|hours_per_week,midpoint_binned_tvd,0.489444
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,age|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,age|income_class,midpoint_binned_tvd,0.482386
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,education_num|hours_per_week,midpoint_binned_tvd,0.060018
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,education_num|income_class,midpoint_binned_tvd,0.019683
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,2,hours_per_week|income_class,midpoint_binned_tvd,0.060064
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,3,age|education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,3,age|education_num|hours_per_week,midpoint_binned_tvd,0.489444
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,3,age|education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,3,age|education_num|income_class,midpoint_binned_tvd,0.482386
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,3,age|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,3,age|hours_per_week|income_class,midpoint_binned_tvd,0.489459
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,3,education_num|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,3,education_num|hours_per_week|income_class,midpoint_binned_tvd,0.060064
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,avg_2way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,avg_3way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,avg_2way,ALL,midpoint_binned_tvd,0.265664
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=3.0,avg_3way,ALL,midpoint_binned_tvd,0.380338
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,age|education_num,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,age|education_num,midpoint_binned_tvd,0.81
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,age|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,age|hours_per_week,midpoint_binned_tvd,0.811667
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,age|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,age|income_class,midpoint_binned_tvd,0.81
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,education_num|hours_per_week,midpoint_binned_tvd,0.054593
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,education_num|income_class,midpoint_binned_tvd,0.005298
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,2,hours_per_week|income_class,midpoint_binned_tvd,0.054609
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,3,age|education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,3,age|education_num|hours_per_week,midpoint_binned_tvd,0.811667
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,3,age|education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,3,age|education_num|income_class,midpoint_binned_tvd,0.81
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,3,age|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,3,age|hours_per_week|income_class,midpoint_binned_tvd,0.811667
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,3,education_num|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,3,education_num|hours_per_week|income_class,midpoint_binned_tvd,0.054609
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,avg_2way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,avg_3way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,avg_2way,ALL,midpoint_binned_tvd,0.424361
simulated_adult_like_n3000_seed0,3000,l_diversity,ell=4.0,avg_3way,ALL,midpoint_binned_tvd,0.621986
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,age|education_num,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,age|education_num,midpoint_binned_tvd,0.876333
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,age|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,age|hours_per_week,midpoint_binned_tvd,0.811667
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,age|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,age|income_class,midpoint_binned_tvd,0.81
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,education_num|hours_per_week,midpoint_binned_tvd,0.387
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,education_num|income_class,midpoint_binned_tvd,0.384667
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,2,hours_per_week|income_class,midpoint_binned_tvd,0.046387
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,3,age|education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,3,age|education_num|hours_per_week,midpoint_binned_tvd,0.877333
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,3,age|education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,3,age|education_num|income_class,midpoint_binned_tvd,0.876333
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,3,age|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,3,age|hours_per_week|income_class,midpoint_binned_tvd,0.811667
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,3,education_num|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,3,education_num|hours_per_week|income_class,midpoint_binned_tvd,0.387296
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,avg_2way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,avg_3way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,avg_2way,ALL,midpoint_binned_tvd,0.552676
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.2,avg_3way,ALL,midpoint_binned_tvd,0.738157
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,age|education_num,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,age|education_num,midpoint_binned_tvd,0.876333
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,age|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,age|hours_per_week,midpoint_binned_tvd,0.81
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,age|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,age|income_class,midpoint_binned_tvd,0.81
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,education_num|hours_per_week,midpoint_binned_tvd,0.384667
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,education_num|income_class,midpoint_binned_tvd,0.384667
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,2,hours_per_week|income_class,midpoint_binned_tvd,0.047027
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,3,age|education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,3,age|education_num|hours_per_week,midpoint_binned_tvd,0.876333
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,3,age|education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,3,age|education_num|income_class,midpoint_binned_tvd,0.876333
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,3,age|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,3,age|hours_per_week|income_class,midpoint_binned_tvd,0.81
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,3,education_num|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,3,education_num|hours_per_week|income_class,midpoint_binned_tvd,0.385987
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,avg_2way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,avg_3way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,avg_2way,ALL,midpoint_binned_tvd,0.552116
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.3,avg_3way,ALL,midpoint_binned_tvd,0.737163
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,age|education_num,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,age|education_num,midpoint_binned_tvd,0.395137
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,age|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,age|hours_per_week,midpoint_binned_tvd,0.146551
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,age|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,age|income_class,midpoint_binned_tvd,0.137476
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,education_num|hours_per_week,midpoint_binned_tvd,0.38739
