dataset,n,method,parameter_name,parameter_value,k,ell,t,feasible,infeasible_reason,output_path,runtime_seconds,age_level,education_num_level,hours_per_week_level,num_fully_suppressed_qis,selection_score,num_equivalence_classes,min_class_size,max_class_size,min_distinct_sa,max_class_tvd,rows_in,rows_out,rows_suppressed,cell_suppression_used,row_suppression_used
simulated_adult_like_n5000_seed0,5000,t_closeness,t,0.3,10,,0.3,True,,data/anonymized/simulated_adult_like_n5000_seed0_tclose_k10_t0p3.csv,1.150881,4,4,0,2,loss=0.680000;n4=2;maxlvl=4;sumlvl=8;suppressed=200;nclasses=38,38,15,259,3,0.28300000000000003,5000,4800,200,False,True
simulated_adult_like_n5000_seed0,5000,t_closeness,t,0.4,10,,0.4,True,,data/anonymized/simulated_adult_like_n5000_seed0_tclose_k10_t0p4.csv,1.150183,1,4,3,1,loss=0.471505;n4=1;maxlvl=4;sumlvl=8;suppressed=228;nclasses=27,27,10,408,3,0.37686274509803924,5000,4772,228,False,True
simulated_adult_like_n10000_seed0,10000,k_anonymity,k,5.0,5,,,True,,data/anonymized/simulated_adult_like_n10000_seed0_kanon_k5.csv,0.861708,2,0,2,0,loss=0.116754;n4=0;maxlvl=2;sumlvl=4;suppressed=292;nclasses=226,226,5,235,1,0.8630000000000001,10000,9708,292,False,True
simulated_adult_like_n10000_seed0,10000,k_anonymity,k,10.0,10,,,True,,data/anonymized/simulated_adult_like_n10000_seed0_kanon_k10.csv,0.861222,2,1,2,0,loss=0.154037;n4=0;maxlvl=2;sumlvl=5;suppressed=348;nclasses=111,111,10,466,1,0.72,10000,9652,348,False,True
simulated_adult_like_n10000_seed0,10000,k_anonymity,k,20.0,20,,,True,,data/anonymized/simulated_adult_like_n10000_seed0_kanon_k20.csv,0.829552,3,1,2,0,loss=0.206634;n4=0;maxlvl=3;sumlvl=6;suppressed=381;nclasses=63,63,20,719,2,0.6989473684210525,10000,9619,381,False,True
simulated_adult_like_n10000_seed0,10000,l_diversity,ell,2.0,10,2,,True,,data/anonymized/simulated_adult_like_n10000_seed0_ldiv_k10_l2.csv,0.909363,2,1,2,0,loss=0.155175;n4=0;maxlvl=2;sumlvl=5;suppressed=361;nclasses=110,110,10,466,2,0.7061538461538462,10000,9639,361,False,True
simulated_adult_like_n10000_seed0,10000,l_diversity,ell,3.0,10,3,,True,,data/anonymized/simulated_adult_like_n10000_seed0_ldiv_k10_l3.csv,1.048688,2,3,2,0,loss=0.223763;n4=0;maxlvl=3;sumlvl=7;suppressed=432;nclasses=70,70,10,764,3,0.763,10000,9568,432,False,True
simulated_adult_like_n10000_seed0,10000,l_diversity,ell,4.0,10,4,,True,,data/anonymized/simulated_adult_like_n10000_seed0_ldiv_k10_l4.csv,0.89171,1,4,2,1,loss=0.419794;n4=1;maxlvl=4;sumlvl=7;suppressed=364;nclasses=52,52,10,581,4,0.5366666666666667,10000,9636,364,False,True
simulated_adult_like_n10000_seed0,10000,t_closeness,t,0.2,10,,0.2,True,,data/anonymized/simulated_adult_like_n10000_seed0_tclose_k10_t0p2.csv,1.497379,4,4,1,2,loss=0.698614;n4=2;maxlvl=4;sumlvl=9;suppressed=402;nclasses=9,9,29,2237,5,0.19706422018348624,10000,9598,402,False,True
simulated_adult_like_n10000_seed0,10000,t_closeness,t,0.3,10,,0.3,True,,data/anonymized/simulated_adult_like_n10000_seed0_tclose_k10_t0p3.csv,1.490334,4,4,0,2,loss=0.669133;n4=2;maxlvl=4;sumlvl=8;suppressed=74;nclasses=46,46,15,475,3,0.28401694915254244,10000,9926,74,False,True
simulated_adult_like_n10000_seed0,10000,t_closeness,t,0.4,10,,0.4,True,,data/anonymized/simulated_adult_like_n10000_seed0_tclose_k10_t0p4.csv,1.489696,1,4,3,1,loss=0.471145;n4=1;maxlvl=4;sumlvl=8;suppressed=451;nclasses=30,30,11,801,3,0.3804244694132335,10000,9549,451,False,True
